date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:39	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20Jul%202025%2007:27:38%20GMT	http://www.hardifinserv.in/wp-content/uploads/2018/06/slide2.jpg	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-content/uploads/2018/06/slide2.jpg	(from https://www.hardifinserv.in/)
12:57:39	97102/97102	---MCZ	200	added ('OK')	text/html	etag:%22395550-1751869300;gz%22	https://www.hardifinserv.in/about/why-us/	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/about/why-us/index.html	(from https://www.hardifinserv.in/)
12:57:39	94468/94468	---MCZ	200	added ('OK')	text/html	etag:%22395552-1751869377;gz%22	https://www.hardifinserv.in/about/company-history/	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/about/company-history/index.html	(from https://www.hardifinserv.in/)
12:57:39	234874/234874	---M--	200	added ('OK')	image/jpeg	etag:%223957a-5b238f10-969df1858e449a70;;;%22	https://www.hardifinserv.in/wp-content/uploads/2018/06/slide1.jpg	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-content/uploads/2018/06/slide1.jpg	(from https://www.hardifinserv.in/)
12:57:40	223981/223981	---M--	200	added ('OK')	image/jpeg	etag:%2236aed-5b238f08-c5a765d769bf3784;;;%22	https://www.hardifinserv.in/wp-content/uploads/2018/06/slide2.jpg	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-content/uploads/2018/06/slide2.jpg	(from https://www.hardifinserv.in/)
12:57:40	93697/93697	---MCZ	200	added ('OK')	text/html	etag:%22395549-1751869293;gz%22	https://www.hardifinserv.in/about/company-brochure/	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/about/company-brochure/index.html	(from https://www.hardifinserv.in/)
12:57:40	53245/53245	---M--	200	added ('OK')	image/png	etag:%22cffd-5cb099cf-567a238827dfd825;;;%22	https://www.hardifinserv.in/wp-content/uploads/2019/04/Home-Services.png	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-content/uploads/2019/04/Home-Services.png	(from https://www.hardifinserv.in/)
12:57:40	100886/100886	---MCZ	200	added ('OK')	text/html	etag:%22395657-1751873260;gz%22	https://www.hardifinserv.in/products/	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/products/index.html	(from https://www.hardifinserv.in/)
12:57:40	36903/36903	---M-Z	200	added ('OK')	text/css	etag:%229027-5faaa35e-c38d3df429bb5b3b;gz%22	https://www.hardifinserv.in/wp-content/plugins/revslider/public/assets/fonts/font-awesome/css/font-awesome.css	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-content/plugins/revslider/public/assets/fonts/font-awesome/css/font-awesome.css	(from https://www.hardifinserv.in/)
12:57:40	96907/96907	---MCZ	200	added ('OK')	text/html	etag:%22395658-1751873260;gz%22	https://www.hardifinserv.in/products/mutual-fund/	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/products/mutual-fund/index.html	(from https://www.hardifinserv.in/)
12:57:40	55789/55789	---M-Z	200	added ('OK')	text/css	etag:%22d9ed-60b64ae0-f9fa15f604981299;gz%22	https://www.hardifinserv.in/wp-content/themes/consulting/assets/css/animate.min.css?ver=4.0.2	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-content/themes/consulting/assets/css/animate.min05da.css	(from https://www.hardifinserv.in/)
12:57:41	95645/95645	---MCZ	200	added ('OK')	text/html	etag:%22395659-1751873260;gz%22	https://www.hardifinserv.in/products/equity-investment/	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/products/equity-investment/index.html	(from https://www.hardifinserv.in/)
12:57:41	21211/21211	---M-Z	200	added ('OK')	text/css	etag:%2252db-6848251c-57b233e612847e4c;gz%22	https://www.hardifinserv.in/wp-content/plugins/js_composer/assets/lib/vendor/node_modules/@fortawesome/fontawesome-free/css/v4-shims.min.css?ver=8.4.1	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-content/plugins/js_composer/assets/lib/vendor/node_modules/@fortawesome/fontawesome-free/css/v4-shims.min3787.css	(from https://www.hardifinserv.in/)
12:57:41	94805/94805	---MCZ	200	added ('OK')	text/html	etag:%22395604-1751871687;gz%22	https://www.hardifinserv.in/products/pms-services/	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/products/pms-services/index.html	(from https://www.hardifinserv.in/)
12:57:41	73890/73890	---M-Z	200	added ('OK')	text/css	etag:%22120a2-6848251c-5c8ed17a0ae4e862;gz%22	https://www.hardifinserv.in/wp-content/plugins/js_composer/assets/lib/vendor/node_modules/@fortawesome/fontawesome-free/css/all.min.css?ver=8.4.1	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-content/plugins/js_composer/assets/lib/vendor/node_modules/@fortawesome/fontawesome-free/css/all.min3787.css	(from https://www.hardifinserv.in/)
12:57:41	97743/97743	---MCZ	200	added ('OK')	text/html	etag:%22395660-1751873261;gz%22	https://www.hardifinserv.in/products/insurance/	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/products/insurance/index.html	(from https://www.hardifinserv.in/)
12:57:41	270128/270128	---M-Z	200	added ('OK')	text/css	etag:%2241f30-6848251c-bd07c5c4770be3c;gz%22	https://www.hardifinserv.in/wp-content/plugins/js_composer/assets/css/js_composer_tta.min.css?ver=8.4.1	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-content/plugins/js_composer/assets/css/js_composer_tta.min3787.css	(from https://www.hardifinserv.in/)
12:57:42	1699/1699	---M-Z	200	added ('OK')	text/css	etag:%226a3-60b64ae0-5fd93ccdd7b2f008;gz%22	https://www.hardifinserv.in/wp-content/themes/consulting/assets/css/slick.css?ver=4.0.2	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-content/themes/consulting/assets/css/slick05da.css	(from https://www.hardifinserv.in/)
12:57:42	4776/4776	---M-Z	200	added ('OK')	application/x-javascript	etag:%2212a8-67e29913-87a2db54d812422e;gz%22	https://www.hardifinserv.in/wp-includes/js/dist/hooks.min.js?ver=4d63a3d491d11ffd8ac6	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-includes/js/dist/hooks.min4fdd.js	(from https://www.hardifinserv.in/)
12:57:42	96559/96559	---M-Z	200	added ('OK')	text/html	etag:%22395661-1751873262;gz%22	https://www.hardifinserv.in/products/insurance/life-insurance/	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/products/insurance/life-insurance/index.html	(from https://www.hardifinserv.in/)
12:57:42	9141/9141	---M-Z	200	added ('OK')	application/x-javascript	etag:%2223b5-67e29913-ada0865bb3832c10;gz%22	https://www.hardifinserv.in/wp-includes/js/dist/i18n.min.js?ver=5e580eb46a90c2b997e6	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-includes/js/dist/i18n.minc33c.js	(from https://www.hardifinserv.in/)
12:57:42	12512/12512	---M-Z	200	added ('OK')	application/x-javascript	etag:%2230e0-67fee88d-f883981418f4a5c0;gz%22	https://www.hardifinserv.in/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=6.0.6	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-content/plugins/contact-form-7/includes/swv/js/indexfc7a.js	(from https://www.hardifinserv.in/)
12:57:43	13452/13452	---M-Z	200	added ('OK')	application/x-javascript	etag:%22348c-67fee88d-ce5350b8bc81fed4;gz%22	https://www.hardifinserv.in/wp-content/plugins/contact-form-7/includes/js/index.js?ver=6.0.6	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-content/plugins/contact-form-7/includes/js/indexfc7a.js	(from https://www.hardifinserv.in/)
12:57:43	36146/36146	---M-Z	200	added ('OK')	application/x-javascript	etag:%228d32-60b64ae0-5cc9516f9ddd0a42;gz%22	https://www.hardifinserv.in/wp-content/themes/consulting/assets/js/bootstrap.min.js?ver=4.0.2	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-content/themes/consulting/assets/js/bootstrap.min05da.js	(from https://www.hardifinserv.in/)
12:57:43	96871/96871	---MCZ	200	added ('OK')	text/html	etag:%22395662-1751873263;gz%22	https://www.hardifinserv.in/products/insurance/general-insurance/	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/products/insurance/general-insurance/index.html	(from https://www.hardifinserv.in/)
12:57:43	62834/62834	---M-Z	200	added ('OK')	application/x-javascript	etag:%22f572-60b64ae0-d3cedcb5c13e4ef;gz%22	https://www.hardifinserv.in/wp-content/themes/consulting/assets/js/select2.min.js?ver=4.0.2	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-content/themes/consulting/assets/js/select2.min05da.js	(from https://www.hardifinserv.in/)
12:57:44	24498/24498	---M-Z	200	added ('OK')	application/x-javascript	etag:%225fb2-60b64ae0-4de1ca434c5ee63e;gz%22	https://www.hardifinserv.in/wp-content/themes/consulting/assets/js/custom.js?ver=4.0.2	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-content/themes/consulting/assets/js/custom05da.js	(from https://www.hardifinserv.in/)
12:57:44	97172/97172	---M-Z	200	added ('OK')	text/html	etag:%22395664-1751873264;gz%22	https://www.hardifinserv.in/products/insurance/term-plan/	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/products/insurance/term-plan/index.html	(from https://www.hardifinserv.in/)
12:57:44	10628/10628	---M-Z	200	added ('OK')	application/x-javascript	etag:%222984-67e29913-e697a17b90d78baa;gz%22	https://www.hardifinserv.in/wp-includes/js/dist/vendor/react.min.js?ver=18.3.1.1	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-includes/js/dist/vendor/react.mine1ab.js	(from https://www.hardifinserv.in/)
12:57:44	128946/128946	---M-Z	200	added ('OK')	application/x-javascript	etag:%221f7b2-684823f3-ab510e37371704bf;gz%22	https://www.hardifinserv.in/wp-includes/js/dist/vendor/react-dom.min.js?ver=18.3.1.1	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-includes/js/dist/vendor/react-dom.mine1ab.js	(from https://www.hardifinserv.in/)
12:57:45	1000/1000	---M-Z	200	added ('OK')	application/x-javascript	etag:%223e8-67e29913-8f015bcf14e09bc4;gz%22	https://www.hardifinserv.in/wp-includes/js/dist/escape-html.min.js?ver=6561a406d2d232a6fbd2	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-includes/js/dist/escape-html.min3a9d.js	(from https://www.hardifinserv.in/)
12:57:45	11968/11968	---M-Z	200	added ('OK')	application/x-javascript	etag:%222ec0-684823f3-c0f3f0d3ad138b8d;gz%22	https://www.hardifinserv.in/wp-includes/js/dist/element.min.js?ver=a4eeeadd23c0d7ab1d2d	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-includes/js/dist/element.minfa0f.js	(from https://www.hardifinserv.in/)
12:57:45	98678/98678	---MCZ	200	added ('OK')	text/html	etag:%22395665-1751873265;gz%22	https://www.hardifinserv.in/products/insurance/health-insurance/	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/products/insurance/health-insurance/index.html	(from https://www.hardifinserv.in/)
12:57:45	21574/21574	---M-Z	200	added ('OK')	application/x-javascript	etag:%225446-68482413-a3d02ef40c5be212;gz%22	https://www.hardifinserv.in/wp-content/plugins/wp-whatsapp-chat/build/frontend/js/index.js?ver=529cf8fc36dc4206da89	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-content/plugins/wp-whatsapp-chat/build/frontend/js/index3f00.js	(from https://www.hardifinserv.in/)
12:57:45	21464/21464	---M-Z	200	added ('OK')	application/x-javascript	etag:%2253d8-684823f3-e21fa83396cb34ab;gz%22	https://www.hardifinserv.in/wp-includes/js/jquery/ui/core.min.js?ver=1.13.3	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-includes/js/jquery/ui/core.minb37e.js	(from https://www.hardifinserv.in/)
12:57:46	70011/70011	---M-Z	200	added ('OK')	application/x-javascript	etag:%221117b-68407b9b-34ac878b1853fb7e;gz%22	https://www.hardifinserv.in/wp-content/plugins/popup-maker/assets/js/site.min.js?defer&ver=1.20.5	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-content/plugins/popup-maker/assets/js/site.min6ace.js	(from https://www.hardifinserv.in/)
12:57:46	94586/94586	---MCZ	200	added ('OK')	text/html	etag:%22395605-1751871693;gz%22	https://www.hardifinserv.in/products/fixed-income-products/	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/products/fixed-income-products/index.html	(from https://www.hardifinserv.in/)
